Flags,d.Liquidity,d.Y_10,d.Slo_(10-2),(d.Y_10) ^2,d.(S-Y)_10,(d.Y_10) ^3,d.Y_2,d.Y_5,d.Y_max,d.Slo_(5-2),d.Slo_(max-2),d.Slo_(max-10),d.Cur(DL),d.Lev(VDM),d.Slo(VDM),d.Cur(VDM),d.VolSkew,d.Leading,d.Coincident,d.Lagging,Leading,Coincident,Lagging,d.AC,d.CR,d.DA,d.DE,d.IC,d.LF,d.LTL,d.R,d.I,d.(R-I),d.(R-M),d.RVol,d.(R-I)Vol,d.(RVol-MVol)
-1,-3.908045977,-0.405,-0.25540404,0.164025,-0.205,-0.066430125,-0.66040404,-0.269229025,-0.15,0.391175015,0.51040404,0.255,0.524191919,-0.02461678,-1.29,-0.14638322,-0.563243486,-20.45296413,1.952496299,15.54424613,-0.838384044,6.000668091,0.508906951,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-7.874750146,6.834043544,-14.70879369,-11.17711594,-10.57752355,-8.2437036,-7.076905465
-1,-4.111007559,-0.38,-0.24484127,0.1444,-0.37,-0.054872,-0.62484127,-0.230332038,-0.07,0.394509232,0.55484127,0.31,0.55031746,0.09326563,-1.35,-0.19026563,-0.891629435,-15.7146191,-0.051468353,13.76865305,1.676016886,5.291048314,1.125331569,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,3.150603344,2.877796158,0.272807185,-1.041906401,-8.631583457,-5.676519945,-4.973979008
-1,4.185136897,0.0385,-0.703233045,0.00148225,-0.18425,5.70666E-05,-0.664733045,-0.243292193,0.505,0.421440852,1.169733045,0.4665,-0.162966089,1.174433754,-1.71,-0.691933754,-0.632740729,-16.93966536,-1.195425129,9.004525209,0.468824112,4.615337952,-0.101471343,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-9.466289366,-5.75205878,-3.714230586,-3.723339398,-6.766060771,-4.586989563,-3.635626043
0,11.45168157,-0.09,-1.070678211,0.0081,0.07,-0.000729,-1.160678211,-0.814230645,0.395,0.346447566,1.555678211,0.485,-0.971356421,1.433884516,-1.655,-1.064384516,-0.178352733,-17.17673844,-0.70101153,5.541855346,-1.228168485,5.606849548,-1.120745302,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,3.837828486,8.80870141,-4.970872925,-2.431183071,-5.098706181,-3.435208038,-3.235281782
0,10.88792173,0.305,-0.828751804,0.093025,-0.085,0.028372625,-0.523751804,-0.394619372,0.975,0.129132432,1.498751804,0.67,-1.092503608,2.201695497,-1.235,-1.229695497,-0.960741329,-15.30644627,-0.385112133,4.645748326,-1.227009259,6.015176066,-0.407332539,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-20.07285965,-11.27991525,-8.7929444,-4.903472066,-3.191405117,-2.908256594,-3.197113032
0,11.24706464,0.005,-0.433636364,2.5E-05,-0.267,1.25E-07,-0.428636364,-0.502142857,0.68,-0.073506494,1.108636364,0.675,-0.917272727,1.756214286,-0.625,-1.080714286,-0.230285012,-12.07079257,-1.484072057,3.197075488,-1.136375865,5.106547801,0,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-17.69593718,-8.006007098,-9.689930082,-12.1978654,-1.092966941,-1.766272022,-2.254021032
0,6.429433685,-0.38,0.159545455,0.1444,-0.12,-0.054872,-0.220454545,-0.647857143,0.42,-0.427402597,0.640454545,0.8,-0.775909091,1.428285714,0.295,-1.014285714,0.314123075,-8.636024513,-2.25974734,2.214671566,-0.568721912,4.631478218,0.304105658,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,3.029492637,-1.377523409,4.407016046,3.555695305,-0.180659075,-1.573100376,-2.380801494
0,4.378698225,-0.205,-0.150454545,0.042025,-0.015,-0.008615125,-0.355454545,-0.565714286,0.555,-0.21025974,0.910454545,0.76,-0.770909091,1.576571429,-0.29,-1.048571429,-0.910658295,-9.639118268,-1.555586782,4.245463041,-1.883294833,4.830796533,1.019376819,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-23.56882869,-19.97748199,-3.591346703,-8.973206854,-0.163372936,-1.835934792,-2.524734767
0,4.817503529,-0.89,0.497272727,0.7921,0.32,-0.704969,-0.392727273,-0.925714286,-0.045,-0.532987013,0.347727273,0.845,-0.460454545,0.798571429,0.61,-0.873571429,-0.775085734,-5.675276597,-1.839098408,4.998350573,-1.879754597,4.265271995,2.247285585,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-26.93053663,-16.79747037,-10.13306626,-18.13664918,-0.449564546,-1.808256499,-2.499328144
0,3.814997263,-0.81,0.757272727,0.6561,-0.035,-0.531441,-0.052727273,-0.56,-0.24,-0.507272727,-0.187272727,0.57,0.044545455,0.097,0.9,-0.37,0.909151773,-5.695353079,-2.182155284,4.883152766,-1.666705249,4.242071588,2.341073837,0.01,0.28,-0.06,-0.17,7.55,0.03,-4.89,-46.61764177,-31.23208948,-15.38555229,-32.12658588,0.060302658,-1.152011121,-1.871377374
