Flags,X.d.Y_10...2,d..S.Y._10,d.Y_max,d.Slo_.5.2.,d.Slo_.max.10.,d.Cur.DL.,d.Cur.VDM.,d.VolSkew,d.Leading,d.Lagging,Coincident,Lagging,d.AC,d.CR,d.DA,d.DE,d.IC,d.RVol
1,0.164025,-0.205,-0.15,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-13.93617907,14.07060816,6.424226873,-2.542078929,0.01,0.28,-0.06,-0.17,7.55,-10.57752355
1,0.1444,-0.37,-0.07,0.394509232,0.31,0.55031746,-0.19026563,-0.891629435,-18.29789613,15.3693965,6.262717747,-1.32048643,0.01,0.28,-0.06,-0.17,7.55,-8.631583457
1,0.00148225,-0.18425,0.505,0.421440852,0.4665,-0.162966089,-0.691933754,-0.632740729,-21.30014019,15.74642532,6.92278615,-0.408580752,0.01,0.28,-0.06,-0.17,7.55,-6.766060771
1,0.648025,0.055,-0.2,-0.532857143,0.605,0.08,-0.379285714,0.034753262,-9.639118268,4.245463041,4.830796533,1.019376819,0,0.54,-0.03,-0.09,1,-0.141273648
1,0.5329,-0.1,-0.065,-0.514285714,0.665,-0.07,-0.516428571,0.396399626,-5.675276597,4.998350573,4.265271995,2.247285585,0,0.54,-0.03,-0.09,1,-1.218012424
1,0.286225,0.005,0.18,-0.266103896,0.715,-0.181363636,-0.706428571,2.027127566,-5.695353079,4.883152766,4.242071588,2.341073837,0,0.54,-0.03,-0.09,1,1.079124004
1,1.3689,-0.17,-0.395,-0.474285714,0.775,-0.04,-0.626428571,0.479431637,-4.269303641,2.540013739,4.214562145,1.219527309,0,0.54,-0.03,-0.09,1,2.170382338
1,2.42892225,-0.1535,-0.92,-0.605285714,0.6385,-0.0065,-0.427928571,0.739448848,-2.446115969,1.831368981,4.292504472,1.422788229,0,0.54,-0.03,-0.09,1,2.71627927
1,1.1881,-0.535,-0.275,-0.411428571,0.815,0.505,-0.432142857,0.17935678,-1.336642596,0.702005928,5.244647537,1.210912879,0,0.54,-0.03,-0.09,1,1.136448173
1,2.9584,-0.54,-0.72,-0.545714286,1,0.55,-0.548571429,-0.489288486,-6.209371016,-1.125331569,5.648811126,0,0,0.54,-0.03,-0.09,1,-0.490194372
1,1.2996,-0.683,-0.235,-0.198961039,0.905,0.688636364,-0.510714286,-0.55164517,-3.604472933,-0.509528521,5.978300716,-0.610999864,0,0.54,-0.03,-0.09,1,-1.808460387
