Flags,X.d.Y_10...2,d..S.Y._10,d.Slo_.5.2.,d.Slo_.max.10.,d.Cur.DL.,d.Cur.VDM.,d.VolSkew,d.Leading,d.Lagging,Leading,Coincident,d.AC,d.DA,d.DE,d.IC,d.RVol
1,1.452025,-0.769,0.01,0.79,0.135,-0.73,-0.725702388,2.541695548,-3.671521257,0.661940951,2.953801244,0,-0.03,-0.09,1,-2.181049094
1,0.119025,-0.485,0.155584416,-0.25,-0.211168831,0.095714286,-0.601394104,5.015282774,2.213370035,0.481928644,2.051353983,-0.03,0.03,0.13,-14.74,0.478556651
1,2.325625,-8.88178E-16,0.48040695,-0.455,-0.246818182,0.222598287,1.290457048,-1.334984259,4.450486124,-1.145050679,3.355678353,-0.03,0.03,0.13,-14.74,2.912077783
1,0.075625,0.315,-0.138095238,0.205,-0.065,-0.352142857,-2.582479947,9.228455472,2.602051441,4.320109241,0.393314175,0.03,-0.08,-0.4,13.76,-22.15076087
1,0.429025,-0.212,0.043571429,0.095,-0.805,-0.222142857,-1.92507489,-4.401497154,-2.913943191,2.737311067,1.175331845,0.03,-0.08,-0.4,13.76,-27.36670059
1,0.0081,0.085,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,-13.93617907,14.07060816,4.028647831,6.424226873,0.24,0.03,0.34,0.02,-10.95058022
1,0.000025,-0.267,-0.073506494,0.675,-0.917272727,-1.080714286,-0.230285012,-12.07079257,3.197075488,-1.136375865,5.106547801,0.24,0.03,0.34,0.02,0.464551231
1,1.1881,-0.535,-0.411428571,0.815,0.505,-0.432142857,0.17935678,0.080928368,0.297695388,-1.147240116,5.205636196,0.15,0.03,0.64,0.01,-0.684294609
1,2.9584,-0.54,-0.545714286,1,0.55,-0.548571429,-0.489288486,0.176880277,-0.001665986,-1.050128982,4.647087438,0.15,0.03,0.64,0.01,-2.796624339
1,1.2996,-0.683,-0.198961039,0.905,0.688636364,-0.510714286,-0.55164517,1.421682763,-1.844314572,0.285306898,4.34160297,0.15,0.03,0.64,0.01,-2.595192494
1,2.387025,-0.67,-0.302857143,0.775,0.805,-0.289285714,-0.963465784,2.073228414,-2.141265179,0.18993358,3.579329461,-0.32,0.02,0.63,-0.22,-3.187638771
1,1.452025,-0.769,0.01,0.79,0.135,-0.73,-0.725702388,2.541695548,-3.671521257,0.661940951,2.953801244,-0.32,0.02,0.63,-0.22,-2.92619832
1,2.7556,-0.615,-0.17952381,0.51,0.345,-0.284285714,-0.927821307,2.824230299,-0.819164666,0.285306898,1.97614335,-0.32,0.02,0.63,-0.22,-1.904879441
1,0.119025,-0.485,0.155584416,-0.25,-0.211168831,0.095714286,-0.601394104,5.015282774,2.213370035,0.481928644,2.051353983,-0.32,0.02,0.63,-0.22,15.72121546
1,2.0736,-0.29,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,1.913527391,5.662704,0.766287275,2.756682983,-0.32,0.02,0.63,-0.22,17.00032111
1,0.4489,0.42275,-0.010550402,0.625,0.224343434,-0.515702948,0.572220396,30.69169377,1.179741992,17.40848947,5.810763081,-0.11,-0.01,-0.1,-0.82,-27.48859886
1,0.6084,0.345,-0.187536001,0.47,0.223578644,-0.298597344,1.321617697,24.18976755,6.962679823,15.94856995,6.307861078,-0.11,-0.01,-0.1,-0.82,-29.36447628
1,0.680625,0.535,0.105061401,0.375,0.497669553,-0.177883058,0.89914831,18.41186309,12.2081934,14.07943701,6.400288199,-0.11,-0.01,-0.1,-0.82,-30.53393572
1,0.8281,0.105,0.333752098,0.41,0.634617605,-0.22915128,2.034770128,-4.6798782,16.84098332,7.755823435,6.386383316,-0.06,-0.03,-0.13,-0.23,-18.56188652
1,0.1681,-0.17,0.43464617,0.015,0.950887446,0.279071914,2.536816069,-14.2820144,16.97737796,3.795522,6.104370403,-0.06,-0.03,-0.13,-0.23,-16.18115184
1,0.648025,0.055,-0.532857143,0.605,0.08,-0.379285714,0.034753262,-4.269303641,2.540013739,-2.134651821,4.214562145,0.02,0.02,0.09,1.39,-3.315053711
1,0.286225,0.005,-0.266103896,0.715,-0.181363636,-0.706428571,2.027127566,-1.336642596,0.702005928,-2.17502664,5.244647537,0.02,0.02,0.09,1.39,-1.133074069
1,1.2996,-0.683,-0.198961039,0.905,0.688636364,-0.510714286,-0.55164517,1.421682763,-1.844314572,0.285306898,4.34160297,0.02,0.02,0.09,1.39,-0.95224558
1,0.7921,-0.005,0.603165363,-0.41,-0.427272727,0.3816232,0.010604513,-0.570613796,7.082168349,-0.285306898,3.562717764,0.06,0.04,0.27,0.7,1.415915209
1,1.755625,-0.108,0.439363035,-0.49,-0.159545455,0.227672246,-0.257482433,-1.613862067,6.032452652,-1.045140155,2.930982925,0.06,0.04,0.27,0.7,1.507265693
1,0.0016,0.26,-0.194761905,0.3,1.07,-0.377142857,0.387984921,4.61084913,5.101447042,2.602749524,0.09789526,-0.09,-0.03,-0.12,0.17,-13.16874821
1,0.0784,0.3017,-0.047619048,0.275,0.365,-0.556428571,-2.952225324,-1.699600592,-0.859573484,2.873760977,2.232018909,-0.09,-0.03,-0.12,0.17,-19.54604259
1,0.2601,-0.24,0.022380952,-0.105,-0.01,0.183571429,-1.029525644,-0.557002419,-1.271873289,3.763106822,0.098087306,0.01,-0.03,-0.11,-0.18,2.20068839
1,0.6084,0.345,-0.187536001,0.47,0.223578644,-0.298597344,1.321617697,24.18976755,6.962679823,15.94856995,6.307861078,-1.28,0,-2.13,-0.13,-23.93359139
1,0.8281,0.105,0.333752098,0.41,0.634617605,-0.22915128,2.034770128,-4.6798782,16.84098332,7.755823435,6.386383316,-1.28,0,-2.13,-0.13,-15.22213804
1,0.1681,-0.17,0.43464617,0.015,0.950887446,0.279071914,2.536816069,-14.2820144,16.97737796,3.795522,6.104370403,-1.28,0,-2.13,-0.13,-12.78633313
1,0.0324,-0.01,0.468689814,0.05,0.005266955,-0.212941367,0.756958884,-18.29789613,15.3693965,2.134651821,6.262717747,-0.64,-0.01,-1.45,-0.12,-2.642871596
1,0.164025,-0.205,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-20.45296413,15.54424613,-0.838384044,6.000668091,-0.64,-0.01,-1.45,-0.12,-2.518504644
1,1.2996,-0.683,-0.198961039,0.905,0.688636364,-0.510714286,-0.55164517,1.421682763,-1.844314572,0.285306898,4.34160297,0.17,0,-0.07,-0.01,-2.613044589
1,0.119025,-0.485,0.155584416,-0.25,-0.211168831,0.095714286,-0.601394104,5.015282774,2.213370035,0.481928644,2.051353983,-0.34,0,-0.55,-0.08,-3.161401546
1,1.755625,-0.108,0.439363035,-0.49,-0.159545455,0.227672246,-0.257482433,-1.613862067,6.032452652,-1.045140155,2.930982925,-0.34,0,-0.55,-0.08,4.998802851
1,2.325625,-8.88178E-16,0.48040695,-0.455,-0.246818182,0.222598287,1.290457048,-1.334984259,4.450486124,-1.145050679,3.355678353,-0.34,0,-0.55,-0.08,3.663170077
1,5.040025,0.259,-0.543476238,-1.055,1.216818182,0.436946283,0.284446686,-2.564947951,4.053305195,-1.903007,3.673882565,-0.34,0,-0.55,-0.08,4.093133268
1,0.3249,0.35,-0.017308291,-0.475,0.275,0.689153367,-1.948862717,-1.921725339,-5.687573609,-1.443026483,0.201816416,-3.55,-0.08,-0.59,-0.06,-4.501957198
1,0.697225,0.179,0.437335539,-0.05,-0.265,0.691868431,0.353771442,-0.323588535,-2.012535564,-2.037916234,1.201215645,-3.55,-0.08,-0.59,-0.06,-5.092850078
1,0.001225,0.06,-0.0389529,-0.295,0.51,0.68783768,0.015230639,2.018001746,1.295483987,-0.78818142,0.808085205,0.46,0,-0.4,0.02,-1.263235675
1,0.015625,-0.006,0.01739782,-0.19,0.15,0.519918256,2.919023362,1.14885507,1.098056345,-1.087504539,0.706716722,0.46,0,-0.4,0.02,-0.171593097
1,0.030625,0.02,-0.040537174,-0.28,0.47,0.555570261,2.14660762,-0.358693252,-1.592073429,-2.693429652,1.112808651,0.46,0,-0.4,0.02,3.664771303
1,0.3844,0.2,-0.053812768,-0.28,0.51,0.280949786,1.90196409,-2.354643483,-0.402731255,-4.378808978,1.01215439,0.46,0,-0.4,0.02,4.352625374
1,0.3844,0.257,0.005,0.14,-0.56,-0.23,-0.764956337,11.85619063,3.63665879,7.138808221,0.197238723,-0.03,0.06,1.47,0.01,-3.405977771
1,0.009025,0.175,0.231666667,0.465,-0.2,-0.79,-1.475300174,3.768940158,2.330104607,5.184535081,0.780491767,-0.49,-0.01,-1.04,0.02,-13.53537842
1,0.429025,-0.212,0.043571429,0.095,-0.805,-0.222142857,-1.92507489,-4.401497154,-2.913943191,2.737311067,1.175331845,-0.49,-0.01,-1.04,0.02,-0.275895271
1,0.5041,0.35,1.819791501,0.3,-0.083405483,-0.981528993,-1.93386134,22.40900013,-35.76999426,7.884806635,-7.004028729,-0.2,0.13,1.25,1.44,-12.16603983
